Price,Address1,Address2,Room,Shower,Car,Size
"$800,000 - $880,000","1006/480 St Kilda Road,",MELBOURNE 3004 VIC 3004,2 Beds,2 Baths,1 Parking,NG
"$619,500","708/3-5 St Kilda Road,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,NG
"$510,000 - $560,000","402/77 Galada Avenue,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,NG
"$875,000","2103/14 Kavanagh Street,",SOUTHBANK VIC 3006,3 Beds,3 Baths,2 Parking,NG
"$599,000","413/221 Sturt Street,",SOUTHBANK VIC 3006,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"431/222 Bay Road,",SANDRINGHAM VIC 3191,3 Beds,2 Baths,2 Parking,NG
"$580,000-$638,000","12/28 The Avenue,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"103/771 Toorak Road,",HAWTHORN EAST VIC 3123,2 Beds,2 Baths,1 Parking,NG
"$349,000-$369,000","11/13-15 Fishburn Grove,",HARKNESS VIC 3337,3 Beds,1 Bath,1 Parking,193m
"$420,000 - $450,000","408/37 Station Road,",CHELTENHAM VIC 3192,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"14/4 Wills Street,",GLEN IRIS VIC 3146,2 Beds,1 Bath,1 Parking,NG
"$615,000","12/37 Staley Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,NG
"$560,000-$595,000","9/4A Duggan Street,",BRUNSWICK WEST VIC 3055,2 Beds,1 Bath,2 Parking,NG
"$590,000 - $630,000","151/75 Graham Road,",HIGHETT VIC 3190,2 Beds,2 Baths,1 Parking,NG
"Private Sale $575,000-$615,000","102/8-10 New Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"207/55 Bay Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,1 Parking,NG
"$550,000 - $575,000","109/147 Neerim Road,",GLEN HUNTLY VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$599,000","4/144 Hawthorn Road,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,1 Parking,NG
"$700,000 - $770,000","181/416A St Kilda Road,",MELBOURNE 3004 VIC 3004,2 Beds,1 Bath,1 Parking,NG
"$565,000","217/28 Swindon Road,",HUGHESDALE VIC 3166,2 Beds,2 Baths,1 Parking,NG
"$545,000 - $585,000","1/5 Wimmera Crescent,",KEILOR DOWNS VIC 3038,3 Beds,1 Bath,1 Parking,NG
"Private Sale $850,000","2/165 Rose Street,",FITZROY VIC 3065,2 Beds,1 Bath,1 Parking,NG
"Expressions of Interest $700,000 - $750,000","105b/64 Breese Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,NG
"$710,000 - $745,000","9/45 Grenville Street,",HAMPTON VIC 3188,2 Beds,1 Bath,2 Parking,NG
Contact Agent,"1 & 4/11 Cleveland Road,",ASHWOOD VIC 3147,2 Beds,1 Bath,1 Parking,NG
"$879,750","204/8D Evergreen Mews,",ARMADALE VIC 3143,2 Beds,2 Baths,1 Parking,NG
"$749,000","301/44 Bedford Street,",COLLINGWOOD VIC 3066,2 Beds,1 Bath,2 Parking,NG
Contact Agent,"704/5 Evergreen Mews,",ARMADALE VIC 3143,2 Beds,2 Baths,2 Parking,NG
"$540,000","103/90 Buckley Street,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,NG
"$600,000 - $660,000","2/9 Baden Powell Drive,",FRANKSTON SOUTH VIC 3199,3 Beds,2 Baths,2 Parking,NG
"$585,000 - $600,000","404/13 Wellington Street,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,NG
"$950,000","4/212 Alma Road,",ST KILDA EAST VIC 3183,3 Beds,2 Baths,1 Parking,NG
"From $500,000 to $550,000","2303/81 Abeckett Street,",MELBOURNE VIC 3000,2 Beds,1 Bath, Parking,NG
"From $500,000 to $550,000","1806/81 Abeckett Street,",MELBOURNE VIC 3000,2 Beds,1 Bath, Parking,NG
Contact Agent,"12/143 Nepean Highway,",ASPENDALE VIC 3195,2 Beds,2 Baths,1 Parking,NG
"$430,000","205/6 Station Street,",MOORABBIN VIC 3189,2 Beds,1 Bath,1 Parking,NG
"$439,000","206/18 Gilbert Road,",PRESTON VIC 3072,2 Beds,1 Bath,1 Parking,NG
"Private Sale $579,000","9/89 Westbank Terrace,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,NG
"$489,000 - $519,000","604/18 Malone Street,",GEELONG VIC 3220,2 Beds,1 Bath,1 Parking,NG
"$500,000 to $550,000","2/11 Browning Avenue,",CLAYTON SOUTH VIC 3169,2 Beds,2 Baths,3 Parking,NG
"$850,000","501/79 River Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,2 Parking,NG
"$880,000 - $900,000","G03/84 Burke Road,",MALVERN EAST VIC 3145,2 Beds,2 Baths,1 Parking,85m
"$749,000","1103/265 Exhibition Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,1 Parking,NG
"Private Sale $515,000","604/82 Hawdon Street,",HEIDELBERG VIC 3084,2 Beds,1 Bath,1 Parking,NG
"$590,000 -$620,000","308/97 Flemington Road,",NORTH MELBOURNE VIC 3051,2 Beds,2 Baths,1 Parking,NG
"$719,000","106/3 York Street,",FITZROY NORTH VIC 3068,2 Beds,1 Bath,1 Parking,NG
"$300,000 - $330,000","3/1A Virginia Street Street,",SPRINGVALE VIC 3171,2 Beds,1 Bath,1 Parking,NG
Contact Team ONE!,"47A Greenleaf Circuit,",TARNEIT VIC 3029,3 Beds,2 Baths,1 Parking,271m
Private Sale,"203/888 Glen Huntly Road,",CAULFIELD SOUTH VIC 3162,2 Beds,1 Bath,1 Parking,NG
For Sale,"104/2A Campbell Grove,",HAWTHORN EAST VIC 3123,2 Beds,2 Baths,1 Parking,NG
"$450,000-$495,000","4/14-16 Morris Street,",TOOTGAROOK VIC 3941,2 Beds,1 Bath,1 Parking,NG
"$500,000-$550,000","412/12 Albert Street,",HAWTHORN EAST VIC 3123,2 Beds,2 Baths,1 Parking,NG
"$725,000 - $775,000","204/11 Jackson Street,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,NG
"$475,000 - $490,000","102/90 Buckley Street,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,88m
"$500,000 - $550,000","9/100 Queensberry Street,",CARLTON VIC 3053,2 Beds,1 Bath,1 Parking,NG
"$625,000","11/14 Nash Street,",GLEN IRIS VIC 3146,2 Beds,1 Bath,1 Parking,NG
"$739,000","19/1066 Lygon Street,",CARLTON NORTH VIC 3054,3 Beds,1 Bath,1 Parking,NG
"$370,000","T412/348 St Kilda Road,",MELBOURNE 3004 VIC 3004,2 Beds,1 Bath, Parking,NG
"$520,000 - $550,000","1/579 Dandenong Road,",ARMADALE VIC 3143,2 Beds,1 Bath,1 Parking,NG
"$505,000","206/2-4 Murray Street,",BRUNSWICK WEST VIC 3055,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"1/1887 Malvern Road,",MALVERN EAST VIC 3145,2 Beds,1 Bath,1 Parking,NG
"$325,000 - $345,000 - Retirement Living","19/21-25 Parkhill Drive,",BERWICK VIC 3806,2 Beds,1 Bath,1 Parking,161m
"$563,000","321/92 Albert Street,",BRUNSWICK EAST VIC 3057,2 Beds,2 Baths,1 Parking,NG
"$630,000","G02/126 Brighton Road,",RIPPONLEA VIC 3185,2 Beds,2 Baths,1 Parking,NG
"$580,000 - $600,000","5/144 Collins Street,",MENTONE VIC 3194,2 Beds,2 Baths,1 Parking,NG
"$350,000 - $385,000","4/79-81 Clarendon Street,",CRANBOURNE VIC 3977,2 Beds,1 Bath,1 Parking,NG
"$756,000","13/233 Burke Road,",GLEN IRIS VIC 3146,2 Beds,2 Baths,1 Parking,NG
"$595,000","1102/70 Speakmen Street,",KENSINGTON VIC 3031,2 Beds,2 Baths,1 Parking,NG
"$585,000-$625,000","306/10-14 Hope Street,",BRUNSWICK VIC 3056,2 Beds,2 Baths,1 Parking,NG
$650000,"1007/160 Victoria Street,",CARLTON VIC 3053,2 Beds,2 Baths, Parking,NG
Contact Agent,"101/525 High Street,",PRAHRAN VIC 3181,2 Beds,2 Baths,1 Parking,NG
"$585,000 - $640,000","512/109 Mcleod Road,",PATTERSON LAKES VIC 3197,3 Beds,2 Baths,2 Parking,NG
"$479,990","107/144 Collins Street,",MENTONE VIC 3194,2 Beds,2 Baths,1 Parking,NG
"$395,000 - $430,000","703/199 William Street,",MELBOURNE VIC 3000,2 Beds,2 Baths, Parking,NG
"$890,000-$920,000","305/12 Railway Walk North,",HAMPTON VIC 3188,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $600,000","1810/50 Claremont Street,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,1 Parking,NG
"$539,000","305/33-35 Breese Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,NG
"$789,000","7 Chelbara Court,",CHELSEA VIC 3196,2 Beds,1 Bath,3 Parking,NG
"$725,000 - $765,000","G01/2 Albert Street,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,NG
"$549,000 - $565000","6/354 Nepean Highway,",CHELSEA VIC 3196,2 Beds,1 Bath,1 Parking,NG
"$550,000 - $600,000","203/1044 Glen Huntly Road,",CAULFIELD SOUTH VIC 3162,2 Beds,2 Baths,1 Parking,NG
"$429,000","120/115 Neerim Road,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$299,000","2/33-35 Henry Street,",MELTON VIC 3337,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"701/665 Chapel Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,113m
Contact agent for details,"1706/105 Clarendon Street,",SOUTHBANK VIC 3006,2 Beds,1 Bath, Parking,NG
"$680,000-$690,000","6/92 Mimosa Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$890,000 - $930,000","214/3 Tarver Street,",PORT MELBOURNE VIC 3207,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"208/78 Inkerman Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$510,000 - $560,000","203/103 Grange Road,",GLEN HUNTLY VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$870,000","1807/3 Yarra Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,3 Parking,NG
"$340,000 to $374,000","415/80 Cheltenham Road,",DANDENONG VIC 3175,2 Beds,1 Bath,1 Parking,NG
"$470,000","6/137 Ford Street,",IVANHOE VIC 3079,2 Beds,1 Bath,1 Parking,NG
"$600,000 - $650,000","20 McDonald Street,",WERRIBEE VIC 3030,3 Beds,3 Baths,2 Parking,NG
"$650,000","106/500 Dandenong Road,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,1 Parking,NG
"$380,000 - $410,000","5/171-175 Beach Street,",FRANKSTON VIC 3199,2 Beds,1 Bath,1 Parking,NG
"$629,000","1/22 Auburn Grove,",HAWTHORN EAST VIC 3123,2 Beds,1 Bath,1 Parking,NG
"$565,000","304/34 Union Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,NG
"$700,000 - $750,000","302/2 Chaucer Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$640,000-$690,000","703B/3 Brewery Lane,",COLLINGWOOD VIC 3066,2 Beds,2 Baths,1 Parking,NG
"$550,000","27/600 Epsom Road,",FLEMINGTON VIC 3031,3 Beds,2 Baths,2 Parking,NG
"$545,000","1501/50 Haig Street,",SOUTHBANK VIC 3006,2 Beds,1 Bath,1 Parking,NG
"$875,000","1013/60 Siddeley Street,",DOCKLANDS VIC 3008,3 Beds,2 Baths,1 Parking,NG
"$495,000","8/18 Cochrane Street,",BRIGHTON VIC 3186,2 Beds,1 Bath,1 Parking,NG
"$420,000 to $450,000","G08/8 Station Street,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,1 Parking,NG
"$540,000","17/171 Flemington Road,",NORTH MELBOURNE VIC 3051,2 Beds,1 Bath,1 Parking,NG
"$595,000 - $654,500","12/5 McIntosh Court,",ASPENDALE GARDENS VIC 3195,2 Beds,1 Bath,1 Parking,NG
"$600,000","302/10 Station Street,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,1 Parking,NG
"$550,700","308/110 Roberts Street,",WEST FOOTSCRAY VIC 3012,2 Beds,2 Baths,1 Parking,NG
"$800,000 - $860,000","107/13-15 Grattan Street,",PRAHRAN VIC 3181,2 Beds,2 Baths,1 Parking,NG
"$800,000-$850,000 (INSPECT BY APPOINTMENT)","5/33 Bodley Street,",BEAUMARIS VIC 3193,3 Beds,2 Baths,2 Parking,NG
"$550,000 to $600,000","207/64 Railway Parade,",HIGHETT VIC 3190,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"1 & 2/18 Ogden Street,",GLENROY VIC 3046,3 Beds,2 Baths,1 Parking,NG
"$520,000","5/269 Princes Hwy,",OFFICER VIC 3809,3 Beds,2 Baths,2 Parking,NG
"$495,000-$540,000","1/11 Filippin Court,",WERRIBEE VIC 3030,3 Beds,1 Bath,2 Parking,292m
"$675,000-$730,000","901e/888 Collins Street,",DOCKLANDS VIC 3008,2 Beds,2 Baths,1 Parking,95m
"$409,000","24/60 Gladesville Boulevard,",PATTERSON LAKES VIC 3197,2 Beds,1 Bath,2 Parking,NG
"$540,000 - $590,000","209/21 Belsize Avenue,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$609,000","201/65 Nicholson Street,",BRUNSWICK EAST VIC 3057,2 Beds,2 Baths,1 Parking,NG
"$525,000 - $575,000","404/8 Lygon Street,",BRUNSWICK EAST VIC 3057,2 Beds,2 Baths,1 Parking,NG
"$900,000 - $990,000","3/1 Esplanade,",FRANKSTON VIC 3199,3 Beds,2 Baths,1 Parking,NG
"$760,000 - $830,000","2/29 Clarkestown Avenue,",MOUNT ELIZA VIC 3930,3 Beds,2 Baths,1 Parking,NG
"$449,000","216/135 Inkerman Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$670,000","Penthouse 2/5 Red Hill Terrace,",DONCASTER EAST VIC 3109,2 Beds,2 Baths,2 Parking,NG
"$830,000","G03/402-408 Riversdale Road,",HAWTHORN EAST VIC 3123,2 Beds,2 Baths,1 Parking,NG
"$559,000","514/74 Queens Road,",MELBOURNE 3004 VIC 3004,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"207/960 High Street,",ARMADALE VIC 3143,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"105/687 Toorak Road,",MALVERN VIC 3144,2 Beds,2 Baths,1 Parking,NG
"$950,000 - $1,045,000","1/440 Dandenong Road,",CAULFIELD NORTH VIC 3161,3 Beds,1 Bath,1 Parking,NG
"$600,000 - $650,000","1708/182 Edward Street,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,1 Parking,NG
"$700,000","205/5-11 Cole Street,",WILLIAMSTOWN VIC 3016,2 Beds,1 Bath,1 Parking,NG
"$880,000","316/9 Darling Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,2 Parking,NG
"$430,000 to $450,000","7/3-7 Harold Road,",SPRINGVALE SOUTH VIC 3172,2 Beds,1 Bath,1 Parking,155m
"$529,900","12/367 High Street,",BELMONT VIC 3216,2 Beds,1 Bath,1 Parking,NG
Contact Elroy for your private inspection!,"104/16 Lomandra Drive,",CLAYTON SOUTH VIC 3169,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"9/100 Commercial Road,",SOUTH YARRA VIC 3141,3 Beds,2 Baths,1 Parking,NG
"$500,000 -$535,000","503/26-28 Wilson Street,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,1 Parking,NG
Contact Elroy for your private inspection!,"201/1451-1453 Centre Road,",CLAYTON VIC 3168,2 Beds,1 Bath,1 Parking,NG
"$609,000","8/13 Maroona Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$435,000","313/40 Altona Street,",KENSINGTON VIC 3031,2 Beds,1 Bath,1 Parking,NG
"$595,000","9/337 Station Street,",THORNBURY VIC 3071,2 Beds,1 Bath,1 Parking,NG
Price Upon Application,"313/9 Commercial Road,",CAROLINE SPRINGS VIC 3023,2 Beds,2 Baths,1 Parking,NG
"$710,000 - $760,000","16/1-5 Taylor Avenue,",ASPENDALE VIC 3195,2 Beds,1 Bath,1 Parking,NG
PRIVATE SALE,"Unit 12/7 Cowra St,",BRIGHTON VIC 3186,2 Beds,2 Baths,1 Parking,NG
"$685,000","103/58 Queens Parade,",FITZROY NORTH VIC 3068,2 Beds,1 Bath,1 Parking,NG
Contact Elroy for your private inspection!,"1451-1453 Centre Road,",CLAYTON VIC 3168,2 Beds,2 Baths,1 Parking,NG
"$849,000","33/27 Queens Road,",MELBOURNE 3004 VIC 3004,3 Beds,2 Baths,1 Parking,NG
"$495,000 - $530,000","6/1a Annette Court,",HASTINGS VIC 3915,3 Beds,2 Baths,2 Parking,NG
"$449,000","24/203 Nicholson Street,",COBURG VIC 3058,2 Beds,1 Bath,2 Parking,NG
Contact Agent,"101/211-213 Sydney Road,",BRUNSWICK VIC 3056,2 Beds,2 Baths, Parking,NG
"$439,000","307/50 Catamaran Drive,",WERRIBEE SOUTH VIC 3030,2 Beds,1 Bath,1 Parking,NG
"$489,000 - $519,000","310/16 Lomandra Drive,",CLAYTON SOUTH VIC 3169,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $595,000","502/92-96 Albert Street,",BRUNSWICK EAST VIC 3057,2 Beds,2 Baths,1 Parking,NG
"$460,000 - $495,000","11/20 Austin Road,",SOMERVILLE VIC 3912,2 Beds,2 Baths,1 Parking,NG
"$679,000","208/88 Dow Street,",PORT MELBOURNE VIC 3207,2 Beds,2 Baths,1 Parking,NG
"$600,000-$660,000","908/480 St Kilda Road,",MELBOURNE 3004 VIC 3004,2 Beds,2 Baths,1 Parking,79m
Contact Agent,"306/53 Gaffney Street,",COBURG VIC 3058,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"901/6 Station Street,",MOORABBIN VIC 3189,2 Beds,1 Bath,1 Parking,NG
"$349,000-$369,000","1/33 Kayla Way,",KURUNJANG VIC 3337,3 Beds,1 Bath,1 Parking,NG
"$679,000","605/11 David Street,",RICHMOND VIC 3121,2 Beds,2 Baths,2 Parking,NG
Contact Agent,"602/23 Palmerston Street,",CARLTON VIC 3053,3 Beds,2 Baths,1 Parking,NG
"$380,000","4/108-110 Conrad Street,",ST ALBANS VIC 3021,2 Beds,1 Bath,1 Parking,NG
615000 - 675000,"2908/81 Abeckett Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,NG
$430000-$460000,"2/2 Costata Court,",NARRE WARREN VIC 3805,2 Beds,2 Baths,1 Parking,NG
"$600,000 - $630,000","208/15 Vickery Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"201-/29-31 Swindon Road,",HUGHESDALE VIC 3166,2 Beds,2 Baths,1 Parking,NG
"$600,000 to $660,000","5/14 Acheron Court,",HAMPTON EAST VIC 3188,2 Beds,1 Bath,1 Parking,NG
"$520,000 to $570,000","2/190 Railway Parade,",NOBLE PARK VIC 3174,3 Beds,1 Bath,2 Parking,NG
$430K - $460K,"401/117 Durham Road,",SUNSHINE VIC 3020,2 Beds,1 Bath,1 Parking,NG
"$600,000 - $645,000","21/4 Victoria Street,",WINDSOR VIC 3181,2 Beds,1 Bath,1 Parking,NG
"$479,000 Priced to sell","102/2 Morton Avenue,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
$400K - $440K,"133 Anderson Road,",ALBION VIC 3020,2 Beds,1 Bath,1 Parking,NG
"$570,000","2110/350 William Street,",MELBOURNE VIC 3000,2 Beds,2 Baths, Parking,NG
$390K - $420K,"216/1 Foundry Road,",SUNSHINE VIC 3020,2 Beds,1 Bath,1 Parking,NG
$290K - $319K,"1/125 Anderson Road,",ALBION VIC 3020,2 Beds,1 Bath,1 Parking,NG
Contact Brenda Ngan,"608/1 Foundry Road,",SUNSHINE VIC 3020,2 Beds,1 Bath,1 Parking,NG
"$639,000","3/328-330 Neerim Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $600,000","5/11 The Avenue,",BALACLAVA VIC 3183,2 Beds,1 Bath,1 Parking,NG
"$565,000","2502/8 Franklin Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,1 Parking,70m
Awaiting Price Guide,"18-24 Hopkins Street,",FOOTSCRAY VIC 3011,3 Beds,2 Baths,1 Parking,NG
"From $468,000 to $700,000","1060 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$725,000","218/13 Acacia Place,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,NG
"$580,000","2307/33 MacKenzie Street,",MELBOURNE VIC 3000,2 Beds,1 Bath, Parking,NG
"$395,000","3/20 Wells Road,",SEAFORD VIC 3198,2 Beds,1 Bath,1 Parking,NG
"$749,000","203/381 Punt Road,",RICHMOND VIC 3121,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"106/7 Cowra Street,",BRIGHTON VIC 3186,2 Beds,2 Baths,2 Parking,NG
$580000 to $638000,"6510/462 Elizabeth Street,",MELBOURNE VIC 3000,2 Beds,2 Baths, Parking,NG
Contact Agent,"104/60 Belgrave Road,",MALVERN EAST VIC 3145,2 Beds,2 Baths,1 Parking,NG
"$379,000","426/14-20 Nicholson Street,",COBURG VIC 3058,2 Beds,1 Bath,1 Parking,NG
"$515,000","1708/8 Marmion Place,",DOCKLANDS VIC 3008,2 Beds,1 Bath,1 Parking,NG
"$550,000","301/116 Watton Street,",WERRIBEE VIC 3030,2 Beds,1 Bath,1 Parking,NG
"$659,000","302/908 Doncaster Road,",DONCASTER EAST VIC 3109,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"1011/228 A'BECKETT STREET,",MELBOURNE VIC 3000,2 Beds,2 Baths, Parking,NG
Contact Agent,"3106/105 CLARENDON STREET,",SOUTHBANK VIC 3006,2 Beds,1 Bath, Parking,NG
"$530,000","701/199 WILLIAM STREET,",MELBOURNE VIC 3000,2 Beds,1 Bath, Parking,NG
Contact Agent,"5003/568 COLLINS STREET,",MELBOURNE VIC 3000,2 Beds,2 Baths,1 Parking,NG
